owner	returnNo	orderNo	paymentCode	returnType	shippingAgent	customerNo	bill_customerNo	shipmentDate	postingDate
IW	Ret000150	ORD000849	BILL	CUSTOMER_RA	DHL	KNR828010	KNR828010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000151	ORD000480	BILL	CUSTOMER_RA	DHL	KNR374010	KNR374010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000152	ORD000317	BILL	CUSTOMER_RA	HERMES	KNR413010	KNR413010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000153	ORD000533	BILL	CUSTOMER_RA	DHL	KNR425010	KNR425010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000158	ORD000997	BILL	CUSTOMER_RA	DHL	KNR369010	KNR369010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000161	ORD000961	BILL	CUSTOMER_RA	DHL	KNR039010	KNR039010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000162	ORD000825	BILL	CUSTOMER_RA	DHL	KNR608010	KNR608010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000164	ORD001029	BILL	CUSTOMER_RA	DHL	KNR399010	KNR399010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000165	ORD000510	BILL	CUSTOMER_RA	DHL	KNR305010	KNR305010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000166	ORD000699	BILL	CUSTOMER_RA	DHL	KNR486010	KNR486010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000168	ORD000641	BILL	CUSTOMER_RA	DHL	KNR036010	KNR036010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000169	ORD000637	BILL	CUSTOMER_RA	DHL	KNR626010	KNR626010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
IW	Ret000172	ORD000382	BILL	CUSTOMER_RA	DHL	KNR673010	KNR673010	2010-05-19 00:00:00.000	2010-05-19 00:00:00.000
